rebalance_freq,stop_loss,vol_target,position_sizing,sharpe,sortino,calmar,max_dd,ann_return,total_return,ann_turnover,win_rate
10,0.05,0.1,inv_vol,-2.215928532923183,-3.1609323051941915,-0.19653196962432515,-0.14740819756798273,-0.0289704234264605,-0.14740819756798273,460.55172413793105,0.0
10,0.05,0.15,equal,-2.215928532923183,-3.1609323051941915,-0.20001296756468687,-0.1448427257452184,-0.0289704234264605,-0.14740819756798273,494.6666666666666,0.0
10,0.05,0.15,inv_vol,-2.215928532923183,-3.1609323051941915,-0.19653196962432515,-0.14740819756798273,-0.0289704234264605,-0.14740819756798273,460.55172413793105,0.0
10,0.1,,equal,-3.182101399922927,-9.050333581561134,-0.1942067946680541,-0.10067081318014715,-0.01955095596376355,-0.10157014236696704,499.33333333333326,0.0
10,0.1,,inv_vol,-3.182101399922926,-9.050333581561132,-0.19248723580477375,-0.10157014236696704,-0.01955095596376355,-0.10157014236696704,481.5,0.0
10,0.1,0.1,equal,-3.126348874038871,-8.891765915834531,-0.21100892845049912,-0.27309380007139716,-0.05762523014064125,-0.275274518671183,499.33333333333326,0.0
10,0.1,0.1,inv_vol,-3.1263488740388707,-8.89176591583453,-0.209337320424275,-0.275274518671183,-0.05762523014064125,-0.275274518671183,481.5,0.0
10,0.1,0.15,equal,-3.126348874038871,-8.891765915834531,-0.21100892845049912,-0.27309380007139716,-0.05762523014064125,-0.275274518671183,499.33333333333326,0.0
10,0.1,0.15,inv_vol,-3.1263488740388707,-8.89176591583453,-0.209337320424275,-0.275274518671183,-0.05762523014064125,-0.275274518671183,481.5,0.0
10,0.15,,equal,-3.9464979729258145,-16.902250781312688,-0.19793635476773352,-0.14969673971747977,-0.02963042700008578,-0.15054704297776234,500.9268292682926,0.0
10,0.15,,inv_vol,-3.9464979729258136,-16.90225078131269,-0.1968183924062907,-0.15054704297776234,-0.02963042700008578,-0.15054704297776234,489.0,0.0
10,0.15,0.1,equal,-3.8380461314083654,-16.437768512573943,-0.22406553727161227,-0.3858179266365085,-0.08644850104323532,-0.387660472856599,500.9268292682926,0.0
10,0.15,0.1,inv_vol,-3.8380461314083645,-16.437768512573943,-0.22300055608948752,-0.387660472856599,-0.08644850104323532,-0.387660472856599,489.0,0.0
10,0.15,0.15,equal,-3.8380461314083654,-16.437768512573943,-0.22406553727161227,-0.3858179266365085,-0.08644850104323532,-0.387660472856599,500.9268292682926,0.0
10,0.15,0.15,inv_vol,-3.8380461314083645,-16.437768512573943,-0.22300055608948752,-0.387660472856599,-0.08644850104323532,-0.387660472856599,489.0,0.0
21,,,equal,-3.527821385937781,-12.222763221436004,-0.1957360126394299,-0.12201886647792459,-0.023883486410745558,-0.1228968476114467,500.1818181818181,0.0
21,,,inv_vol,-3.5001904857832575,-11.946819942966846,-0.19418312974259128,-0.12113912586317299,-0.023523174613810927,-0.12113912586317299,492.54545454545456,0.0
21,,0.1,equal,-3.450880171963521,-11.956187022194241,-0.216495357403745,-0.3237379980385239,-0.07008777361217267,-0.3257667840444083,500.1818181818181,0.0
21,,0.1,inv_vol,-3.4250988333685397,-11.690518043192148,-0.2146602573866829,-0.32169696583944496,-0.06905555350907622,-0.32169696583944496,492.54545454545456,0.0
21,,0.15,equal,-3.450880171963521,-11.956187022194241,-0.216495357403745,-0.3237379980385239,-0.07008777361217267,-0.3257667840444083,500.1818181818181,0.0
21,,0.15,inv_vol,-3.4250988333685397,-11.690518043192148,-0.2146602573866829,-0.32169696583944496,-0.06905555350907622,-0.32169696583944496,492.54545454545456,0.0
21,0.05,,equal,-2.2332566663648836,-3.1856501649614666,-0.19188119683951738,-0.05072056289030924,-0.009732322330954668,-0.05166984232741889,494.6666666666666,0.0
21,0.05,,inv_vol,-2.2332566663648836,-3.1856501649614652,-0.18835595143580613,-0.05166984232741889,-0.009732322330954668,-0.05166984232741889,477.0,0.0
21,0.05,0.1,equal,-2.2159285329231833,-3.1609323051941915,-0.20001296756468687,-0.1448427257452184,-0.0289704234264605,-0.14740819756798273,494.6666666666666,0.0
21,0.05,0.1,inv_vol,-2.215928532923183,-3.1609323051941915,-0.19653196962432515,-0.14740819756798273,-0.0289704234264605,-0.14740819756798273,477.0,0.0
21,0.05,0.15,equal,-2.2159285329231833,-3.1609323051941915,-0.20001296756468687,-0.1448427257452184,-0.0289704234264605,-0.14740819756798273,494.6666666666666,0.0
21,0.05,0.15,inv_vol,-2.215928532923183,-3.1609323051941915,-0.19653196962432515,-0.14740819756798273,-0.0289704234264605,-0.14740819756798273,477.0,0.0
21,0.1,,equal,-3.182101399922927,-9.050333581561134,-0.1942067946680541,-0.10067081318014715,-0.01955095596376355,-0.10157014236696704,499.33333333333326,0.0
21,0.1,,inv_vol,-3.1821013999229266,-9.05033358156113,-0.19248723580477375,-0.10157014236696704,-0.01955095596376355,-0.10157014236696704,490.25454545454545,0.0
21,0.1,0.1,equal,-3.126348874038871,-8.891765915834531,-0.21100892845049912,-0.27309380007139716,-0.05762523014064125,-0.275274518671183,499.33333333333326,0.0
21,0.1,0.1,inv_vol,-3.1263488740388707,-8.89176591583453,-0.209337320424275,-0.275274518671183,-0.05762523014064125,-0.275274518671183,490.25454545454545,0.0
21,0.1,0.15,equal,-3.126348874038871,-8.891765915834531,-0.21100892845049912,-0.27309380007139716,-0.05762523014064125,-0.275274518671183,499.33333333333326,0.0
21,0.1,0.15,inv_vol,-3.1263488740388707,-8.89176591583453,-0.209337320424275,-0.275274518671183,-0.05762523014064125,-0.275274518671183,490.25454545454545,0.0
21,0.15,,equal,-3.527821385937781,-12.222763221436004,-0.1957360126394299,-0.12201886647792459,-0.023883486410745558,-0.1228968476114467,500.1818181818181,0.0
21,0.15,,inv_vol,-3.5001904857832575,-11.946819942966846,-0.19418312974259128,-0.12113912586317299,-0.023523174613810927,-0.12113912586317299,492.54545454545456,0.0
21,0.15,0.1,equal,-3.450880171963521,-11.956187022194241,-0.216495357403745,-0.3237379980385239,-0.07008777361217267,-0.3257667840444083,500.1818181818181,0.0
21,0.15,0.1,inv_vol,-3.4250988333685397,-11.690518043192148,-0.2146602573866829,-0.32169696583944496,-0.06905555350907622,-0.32169696583944496,492.54545454545456,0.0
21,0.15,0.15,equal,-3.450880171963521,-11.956187022194241,-0.216495357403745,-0.3237379980385239,-0.07008777361217267,-0.3257667840444083,500.1818181818181,0.0
21,0.15,0.15,inv_vol,-3.4250988333685397,-11.690518043192148,-0.2146602573866829,-0.32169696583944496,-0.06905555350907622,-0.32169696583944496,492.54545454545456,0.0
42,,,equal,-2.47383620444582,-4.314509631916946,-0.19213089302444944,-0.062055111026463994,-0.011922703917458977,-0.06299305591543758,496.36363636363626,0.0
42,,,inv_vol,-2.435315209401088,-4.118665591528936,-0.1891176121017248,-0.061115286488414355,-0.011557977062513491,-0.061115286488414355,481.09090909090907,0.0
42,,0.1,equal,-2.449243702048066,-4.271618966998986,-0.20216065743285044,-0.17517028038531857,-0.03541253906560882,-0.17764476954416264,496.36363636363626,0.0
42,,0.1,inv_vol,-2.411990111934618,-4.079217646751022,-0.19887455875598667,-0.17268085467219585,-0.034341828798427065,-0.17268085467219585,481.09090909090907,0.0
42,,0.15,equal,-2.449243702048066,-4.271618966998986,-0.20216065743285044,-0.17517028038531857,-0.03541253906560882,-0.17764476954416264,496.36363636363626,0.0
